"id","year","temperaturamnimaextrema_acum","latitud","longitud","geom"
242,"2012",2.7,24.843334,-100.32083,POINT (-100.32083129882812 24.843334197998047)
243,"2012",2.8,19.315834,-97.91111,POINT (-97.9111099243164 19.315834045410156)
244,"2012",2.8,19.456112,-100.06944,POINT (-100.06944274902344 19.456111907958984)
245,"2012",2.8,19.684166,-99.12666,POINT (-99.12666320800781 19.684165954589844)
246,"2012",2.8,19.695,-99.30167,POINT (-99.30166625976562 19.69499969482422)
247,"2012",2.8,19.707222,-98.449165,POINT (-98.44916534423828 19.70722198486328)
248,"2012",2.8,19.788889,-97.245834,POINT (-97.24583435058594 19.788888931274414)
249,"2012",2.8,19.88889,-102.205,POINT (-102.20500183105469 19.88888931274414)
250,"2012",2.8,21.284721,-102.49722,POINT (-102.49722290039062 21.28472137451172)
251,"2012",2.8,21.502777,-102.6525,POINT (-102.65249633789062 21.502777099609375)
252,"2012",2.8,21.885,-102.10917,POINT (-102.10916900634766 21.885000228881836)
253,"2012",2.8,22.018888,-101.99917,POINT (-101.9991683959961 22.018888473510742)
254,"2012",2.8,22.188612,-102.464165,POINT (-102.46416473388672 22.18861198425293)
255,"2012",2.8,22.333055,-103.49333,POINT (-103.49333190917969 22.33305549621582)
256,"2012",2.8,22.548056,-102.79083,POINT (-102.79083251953125 22.54805564880371)
257,"2012",2.8,23.281666,-103.10889,POINT (-103.10888671875 23.281665802001953)
258,"2012",2.8,23.449722,-102.959724,POINT (-102.95972442626953 23.449722290039062)
259,"2012",2.8,23.618055,-101.72305,POINT (-101.72305297851562 23.61805534362793)
260,"2012",2.8,24.147778,-101.48361,POINT (-101.48361206054688 24.147777557373047)
261,"2012",2.8,24.174444,-105.96667,POINT (-105.96666717529297 24.1744441986084)
262,"2012",2.8,28.421667,-108.42167,POINT (-108.42166900634766 28.421667098999023)
263,"2012",2.8,30.07,-109.08861,POINT (-109.08860778808594 30.06999969482422)
264,"2012",2.8,25.119167,-101.111115,POINT (-101.11111450195312 25.11916732788086)
265,"2012",2.9,16.659721,-92.2625,POINT (-92.26249694824219 16.65972137451172)
266,"2012",2.9,19.716667,-99.46667,POINT (-99.46666717529297 19.71666717529297)
267,"2012",2.9,21.173334,-101.24167,POINT (-101.24166870117188 21.1733341217041)
268,"2012",2.9,21.873611,-101.26778,POINT (-101.26777648925781 21.873611450195312)
269,"2012",2.9,22.604445,-101.438614,POINT (-101.43861389160156 22.60444450378418)
270,"2012",2.9,24.313612,-100.031944,POINT (-100.03194427490234 24.31361198425293)
271,"2012",2.9,24.715834,-100.01583,POINT (-100.01583099365234 24.71583366394043)
272,"2012",2.9,25.773611,-104.28778,POINT (-104.28778076171875 25.773611068725586)
273,"2012",2.9,30.335833,-110.1675,POINT (-110.1675033569336 30.335832595825195)
